title,location,property_type,price,price_per_bedroom,bedrooms,bathrooms,price_category,added_date,updated_date,month_added,state
Newly Built 1 Bedroom Flat,by ceder crest hospital apo abuja,Flat/Apartment,65000000,65000000,1,1,High,21/01/2026,18/02/2026,2026-01,Abuja
Newly Built 3 Bedroom With A Bq,by american international school durumi abuja,maisonette,120000000,40000000,3,3,High,10/02/2026,18/02/2026,2026-02,Abuja
Newly Built 5 Bedroom Detached Duplex With Bq,wuye abuja,Detached,700000000,140000000,5,5,High,23/01/2026,18/02/2026,2026-01,Abuja
3 Bedroom Flat,off maitama kubwa express way katampe main abuja,Flat/Apartment,195000000,65000000,3,3,High,13/01/2026,18/02/2026,2026-01,Abuja
A Fully Furnished 3 Bedroom Flat,by stella marris school life camp abuja,Flat/Apartment,135000000,45000000,3,3,High,16/01/2026,18/02/2026,2026-01,Abuja
Newly Built 3 Bedroom Flat With A Bq,life camp abuja,Flat/Apartment,130000000,43333333,3,3,High,06/02/2026,18/02/2026,2026-02,Abuja
Fully Furnished 3 Bedroom Flat,mabushi abuja,Flat/Apartment,155000000,51666667,3,3,High,04/02/2026,18/02/2026,2026-02,Abuja
Standard 3 Bedroom With A Bq,brains and hammers estate galadimawa abuja,maisonette,120000000,40000000,3,3,High,05/02/2026,18/02/2026,2026-02,Abuja
Newly Built 4 Bedroom Detached Duplex With A Bq,"apo resettlement by the new express, apo abuja",Detached,300000000,75000000,4,4,High,16/01/2026,18/02/2026,2026-01,Abuja
Newly Built 2 Bedroom Flat,by turkish hospital idu abuja,Flat/Apartment,58000000,29000000,2,2,High,20/01/2026,18/02/2026,2026-01,Abuja
Newly Built 2 Bedroom Duplex,by urban shelter lokogoma abuja,duplex,95000000,47500000,2,2,High,14/01/2026,18/02/2026,2026-01,Abuja
Newly Built 2 Bedroom Flat,close to turkish hospital idu abuja,Flat/Apartment,70000000,35000000,2,2,High,02/01/2026,18/02/2026,2026-01,Abuja
Newly Built 2 Bedroom Flat,behind capital hub mabushi abuja,Flat/Apartment,120000000,40000000,3,3,High,04/02/2026,18/02/2026,2026-02,Abuja
Newly Built 3 Bedroom Flat,mabushi abuja,Flat/Apartment,160000000,53333333,3,3,High,26/01/2026,18/02/2026,2026-01,Abuja
Newly Built 3 Bedroom Flat With Bq,"soe estate, life camp abuja",Flat/Apartment,95000000,31666667,3,3,High,02/01/2026,18/02/2026,2026-01,Abuja
Standard 3 Bedroom Flat With A Bq,"efab global estate, idu abuja",Flat/Apartment,150000000,50000000,3,3,High,16/01/2026,18/02/2026,2026-01,Abuja
