title,location,area_bucket,property_type,price,bedrooms,bathrooms,added_date,updated_date,month_posted,state,price_category
3 bedroom flat / apartment for sale,"By Starville School, Jahi, Abuja",Jahi,Flat,80000000,3,,30/01/2026,02/02/2026,2026-01,Abuja,Low
5 bedroom detached duplex for sale,"Galadimawa, Abuja",Galadimawa,Detached Duplex,320000000,5,6,18/02/2026,18/02/2026,2026-02,Abuja,High
Residential land for sale,"Katampe Extension, Katampe, Abuja",Katampe,Land,1300000000,,,22/02/2026,23/02/2026,2026-02,Abuja,High
8 bedroom house for sale,"Asokoro District, Abuja",Asokoro,House,5000000000,8,,14/01/2026,22/02/2026,2026-01,Abuja,High
4 bedroom house for sale,"Wuye, Abuja",Wuye,House,380000000,4,,02/01/2026,22/02/2026,2026-01,Abuja,High
9 bedroom house for sale,"Maitama District, Abuja",Maitama,House,10000000000,9,,05/12/2025,22/02/2026,2025-12,Abuja,High
7 bedroom house for sale,"Jabi, Abuja",Jabi,House,2500000000,7,,28/11/2025,22/02/2026,2025-11,Abuja,High
7 bedroom house for sale,"Guzape District, Abuja",Guzape,House,3500000000,7,,28/11/2025,22/02/2026,2025-11,Abuja,High
6 bedroom detached duplex for sale,"Asokoro District, Abuja",Asokoro,Detached Duplex,1700000000,6,,15/10/2025,22/02/2026,2025-10,Abuja,High
3 bedroom block of flats for sale,"Wuse 2, Abuja",Wuse,Block Of Flats,2800000000,3,,18/10/2025,22/02/2026,2025-10,Abuja,High
5 bedroom detached duplex for sale,"Maitama District, Abuja",Maitama,Detached Duplex,2000000000,5,,08/10/2025,22/02/2026,2025-10,Abuja,High
7 bedroom house for sale,"Maitama District, Abuja",Maitama,House,5500000000,7,,08/10/2025,22/02/2026,2025-10,Abuja,High
10 bedroom house for sale,"Maitama District, Abuja",Maitama,House,10000000000,10,,06/07/2025,22/02/2026,2025-07,Abuja,High
3 bedroom flat / apartment for sale,"Life Camp, Abuja",Life Camp,Flat,70000000,3,3,19/12/2025,17/02/2026,2025-12,Abuja,Low
4 bedroom terraced duplex for sale,"Off Coza, Guzape District, Abuja",Guzape,Terraced Duplex,250000000,4,5,21/02/2026,21/02/2026,2026-02,Abuja,Low
45 bedroom hotel / guest house for sale,"Wuse 2, Abuja",Wuse,Commercial Property,7500000000,45,,14/02/2026,22/02/2026,2026-02,Abuja,High
Residential land for sale,"Green Manor, Katampe, Abuja",Katampe,Land,35000000,,,18/02/2026,21/02/2026,2026-02,Abuja,Low
6 bedroom detached duplex for sale,"Opposite Ochacho Estate, Life Camp, Abuja",Life Camp,Detached Duplex,250000000,6,6,21/02/2026,21/02/2026,2026-02,Abuja,Low
Residential land for sale,"Via Paradies Estate, Life Camp, Abuja",Life Camp,Land,100000000,,,21/02/2026,21/02/2026,2026-02,Abuja,Low
4 bedroom detached duplex for sale,"Off Fha Bridge, Karsana, Abuja",Karsana,Detached Duplex,220000000,4,4,21/10/2025,21/02/2026,2025-10,Abuja,Low
4 bedroom terraced duplex for sale,"Mabushi, Abuja",Mabushi,Terraced Duplex,350000000,4,4,21/02/2026,22/02/2026,2026-02,Abuja,High
5 bedroom detached duplex for sale,"Guzape District, Abuja",Guzape,Detached Duplex,800000000,5,5,21/02/2026,21/02/2026,2026-02,Abuja,High
2 bedroom flat / apartment for sale,"River Park Estate, Lugbe District, Abuja",Lugbe,Flat,90000000,2,3,18/02/2026,22/02/2026,2026-02,Abuja,Low
Residential land for sale,"Good Homes Estate, Lokogoma District, Abuja",Lokogoma,Land,55000000,,,19/02/2026,20/02/2026,2026-02,Abuja,Low
Mixed-use land for sale,"Garnet Estate, Asokoro District, Abuja",Asokoro,Land,35000000,,,19/02/2026,21/02/2026,2026-02,Abuja,Low
4 bedroom terraced duplex for sale,"Brains And Hammers City Idu Lifecamp, Life Camp, Abuja",Life Camp,Terraced Duplex,130000000,4,4,21/02/2026,22/02/2026,2026-02,Abuja,Low
7 bedroom detached duplex for sale,"Asokoro District, Abuja",Asokoro,Detached Duplex,12000000000,7,7,29/01/2025,30/01/2026,2025-01,Abuja,High
3 bedroom flat / apartment for sale,"By Aduvie, Jahi, Abuja",Jahi,Flat,160000000,3,4,21/02/2026,21/02/2026,2026-02,Abuja,Low
Plaza / complex / mall for sale,"Wuse 2, Abuja",Wuse,Commercial Property,180000000,,1,21/02/2026,21/02/2026,2026-02,Abuja,Low
Residential land for sale,"Abuja, Maitama District, Abuja",Maitama,Land,15000000000,,,21/02/2026,22/02/2026,2026-02,Abuja,High
4 bedroom semi-detached duplex for sale,"Legislative Quarters, Apo, Abuja",Apo,Semi-Detached Duplex,500000000,4,4,21/02/2026,21/02/2026,2026-02,Abuja,High
6 bedroom detached duplex for sale,"In An Estate, Lokogoma District, Abuja",Lokogoma,Detached Duplex,600000000,6,6,21/02/2026,21/02/2026,2026-02,Abuja,High
Mixed-use land for sale,"Golf City, Katampe Extension, Katampe, Abuja",Katampe,Land,100000000,,,03/07/2025,23/02/2026,2025-07,Abuja,Low
4 bedroom detached duplex for sale,"Maitama District, Abuja",Maitama,Detached Duplex,1500000000,4,6,21/02/2026,21/02/2026,2026-02,Abuja,High
Hotel / guest house for sale,"Aviation Village, Towards Airport, Lugbe District, Abuja",Lugbe,Commercial Property,15000000000,,,10/09/2025,23/02/2026,2025-09,Abuja,High
Hotel / guest house for sale,"Area 11, Garki, Abuja",Garki,Commercial Property,15000000000,,,29/09/2025,23/02/2026,2025-09,Abuja,High
3 bedroom block of flats for sale,"Katampe Extension, Katampe, Abuja",Katampe,Block Of Flats,8000000000,3,3,29/09/2025,23/02/2026,2025-09,Abuja,High
Hotel / guest house for sale,"Airport Road, Lugbe District, Abuja",Lugbe,Commercial Property,15000000000,,,16/10/2025,23/02/2026,2025-10,Abuja,High
5 bedroom terraced duplex for sale,"Life Camp, Abuja",Life Camp,Terraced Duplex,11000000000,5,5,24/12/2025,23/02/2026,2025-12,Abuja,High
Mixed-use land for sale,"Deda Hospital Road By Rano Hotels, Katampe (Main), Katampe, Abuja",Katampe,Land,1300000000,,,20/02/2026,20/02/2026,2026-02,Abuja,High
Filling station for sale,"Banex, Wuse 2, Abuja",Wuse,Commercial Property,10000000000,,,31/01/2026,23/02/2026,2026-01,Abuja,High
Residential land for sale,"Maitama 2, Maitama District, Abuja",Maitama,Land,240000000,,,21/02/2026,21/02/2026,2026-02,Abuja,Low
Residential land for sale,"Diplomatic Quarters, Katampe Extension, Katampe, Abuja",Katampe,Land,1300000000,,,21/02/2026,23/02/2026,2026-02,Abuja,High
3 bedroom flat / apartment for sale,"Rivers Park Estate, Lugbe District, Abuja",Lugbe,Flat,90000000,3,4,21/02/2026,21/02/2026,2026-02,Abuja,Low
Mixed-use land for sale,"Kubwa, Abuja",Kubwa,Land,600000000,,,23/01/2026,23/02/2026,2026-01,Abuja,High
4 bedroom detached duplex for sale,"Airport Road, Lugbe District, Abuja",Lugbe,Detached Duplex,35000000,4,4,21/02/2026,21/02/2026,2026-02,Abuja,Low
Residential land for sale,"Apo Kabusa Express Way, Kabusa, Abuja",Apo,Land,12800000,,,21/02/2026,21/02/2026,2026-02,Abuja,Low
Residential land for sale,"Wuye, Abuja",Wuye,Land,650000000,,,21/02/2026,23/02/2026,2026-02,Abuja,High
Residential land for sale,"By Turkish Hospital, Karmo, Abuja",Karmo,Land,300000000,,,21/02/2026,23/02/2026,2026-02,Abuja,High
Residential land for sale,"Nnpc Cooperative Estate, Life Camp, Abuja",Life Camp,Land,120000000,,,08/12/2024,20/02/2026,2024-12,Abuja,Low
4 bedroom terraced duplex for sale,"Lugbe District, Abuja",Lugbe,Terraced Duplex,200000000,4,4,21/02/2026,21/02/2026,2026-02,Abuja,Low
Commercial land for sale,"Arab Road, Beside Christ Embassy And Living Faith, Kubwa, Abuja",Kubwa,Land,260000000,,,18/01/2026,23/02/2026,2026-01,Abuja,High
8 bedroom house for sale,"Main, Asokoro District, Abuja",Asokoro,House,14000000000,8,8,21/02/2026,21/02/2026,2026-02,Abuja,High
Residential land for sale,"Karasana Signature Estate, Karsana, Abuja",Karsana,Land,10500000,,,21/02/2026,21/02/2026,2026-02,Abuja,Low
Residential land for sale,"Dape, Abuja",Dape,Land,120000000,,,21/02/2026,23/02/2026,2026-02,Abuja,Low
5 bedroom detached duplex for sale,"Asokoro Rock Villa, Guzape District, Abuja",Guzape,Detached Duplex,900000000,5,4,24/07/2025,22/02/2026,2025-07,Abuja,High
Land for sale,"Sector Center G, Galadimawa, Abuja",Galadimawa,Land,1600000000,,,21/02/2026,23/02/2026,2026-02,Abuja,High
Land for sale,"Kubwa Gwarimpa Expressway, Kubwa, Abuja",Kubwa,Land,2000000000,,,21/02/2026,23/02/2026,2026-02,Abuja,High
Land for sale,"Waru-Pozema, Abuja",Others,Land,15000000,,,21/02/2026,21/02/2026,2026-02,Abuja,Low
Residential land for sale,"Ministry Of Works & Housing, Gwarinpa, Abuja",Gwarinpa,Land,47000000,,,21/02/2026,21/02/2026,2026-02,Abuja,Low
3 bedroom flat / apartment for sale,"Mabushi, Abuja",Mabushi,Flat,160000000,3,3,09/08/2025,16/01/2026,2025-08,Abuja,Low
Land for sale,"Guzape 2, Guzape District, Abuja",Guzape,Land,3500000000,,,21/02/2026,21/02/2026,2026-02,Abuja,High
Land for sale,"Apo Resettlement, Apo, Abuja",Apo,Land,90000000,,,21/02/2026,23/02/2026,2026-02,Abuja,Low
